place,time,pm10
Centar,2013-07-16,6.6045
Lisice,2013-07-16,49.2691
Rektorat,2013-07-16,24.4075
Karpos,2013-07-16,26.214
GaziBaba,2013-07-16,41.0345
Centar,2013-07-17,20.9655
Lisice,2013-07-17,27.86
Karpos,2013-07-17,22.1065
GaziBaba,2013-07-17,35.6949
Rektorat,2013-07-17,22.7116
Rektorat,2013-07-18,32.3754
Lisice,2013-07-18,38.9904
Karpos,2013-07-18,29.4044
Centar,2013-07-18,35.1297
GaziBaba,2013-07-18,47.6653
Rektorat,2013-07-19,32.8316
Karpos,2013-07-19,33.3845
Lisice,2013-07-19,40.6187
GaziBaba,2013-07-19,52.1795
Centar,2013-07-19,37.8383
Lisice,2013-07-20,43.285
Rektorat,2013-07-20,35.6696
Centar,2013-07-20,40.5231
Karpos,2013-07-20,34.2029
Lisice,2013-07-21,43.4408
Rektorat,2013-07-21,34.5471
GaziBaba,2013-07-21,54.6508
Centar,2013-07-21,38.5396
Karpos,2013-07-21,34.6997
Karpos,2013-07-22,21.5458
Centar,2013-07-22,24.3001
GaziBaba,2013-07-22,37.7278
Rektorat,2013-07-22,20.6821
Lisice,2013-07-22,24.187
Centar,2013-07-23,40.8412
Karpos,2013-07-23,34.6993
GaziBaba,2013-07-23,56.0762
Rektorat,2013-07-23,39.2412
Lisice,2013-07-23,42.2866
Rektorat,2013-07-24,38.522
Karpos,2013-07-24,50.1339
Centar,2013-07-24,45.1383
Lisice,2013-07-24,49.3608
GaziBaba,2013-07-24,58.2366
GaziBaba,2013-07-25,56.2549
Karpos,2013-07-25,43.5487
Lisice,2013-07-25,47.5708
Centar,2013-07-25,44.562
Rektorat,2013-07-25,34.7775
Centar,2013-07-26,39.9679
Miladinovci,2013-07-26,46.5595
Lisice,2013-07-26,86.7537
Karpos,2013-07-26,38.2214
GaziBaba,2013-07-26,50.7837
Rektorat,2013-07-26,35.335
Centar,2013-07-27,35.5928
Lisice,2013-07-27,44.1824
Rektorat,2013-07-27,35.7979
Karpos,2013-07-27,35.4734
Miladinovci,2013-07-27,34.5712
GaziBaba,2013-07-27,53.5754
Lisice,2013-07-28,45.7625
Karpos,2013-07-28,43.2002
Rektorat,2013-07-28,38.1349
Miladinovci,2013-07-28,33.8916
Centar,2013-07-28,37.1423
GaziBaba,2013-07-28,56.0424
Rektorat,2013-07-29,44.4128
Karpos,2013-07-29,53.4979
Miladinovci,2013-07-29,45.0262
Lisice,2013-07-29,59.0416
Centar,2013-07-29,50.2133
GaziBaba,2013-07-29,60.8449
Karpos,2013-07-30,51.9933
Lisice,2013-07-30,59.6053
Rektorat,2013-07-30,46.962
Miladinovci,2013-07-30,45.9374
GaziBaba,2013-07-30,72.3757
Centar,2013-07-30,57.3801
Lisice,2013-07-31,20.7746
GaziBaba,2013-07-31,36.282
Rektorat,2013-07-31,19.8366
Karpos,2013-07-31,21.0175
Centar,2013-07-31,30.4897
Miladinovci,2013-07-31,21.8145
Centar,2013-08-01,25.1299
Lisice,2013-08-01,24.9395
Rektorat,2013-08-01,22.1292
GaziBaba,2013-08-01,36.9304
Karpos,2013-08-01,21.9503
Miladinovci,2013-08-01,24.8004
Centar,2013-08-02,36.2719
Lisice,2013-08-02,39.3733
GaziBaba,2013-08-02,49.827
Karpos,2013-08-02,40.4445
Rektorat,2013-08-02,33.537
Rektorat,2013-08-03,31.1945
Lisice,2013-08-03,36.4737
GaziBaba,2013-08-03,33.0853
